timestamp,temperature_c,relative_humidity_pct,precipitation
2025-12-11 00:00:00,9.1,88,0.0
2025-12-11 01:00:00,6.8,100,0.0
2025-12-11 02:00:00,5.6,100,0.0
2025-12-11 03:00:00,5.7,100,0.0
2025-12-11 04:00:00,5.2,100,0.0
2025-12-11 05:00:00,5.0,100,0.0
2025-12-11 06:00:00,5.0,100,0.0
2025-12-11 07:00:00,5.5,100,0.0
2025-12-11 08:00:00,6.0,100,0.0
2025-12-11 09:00:00,6.4,100,0.0
2025-12-11 10:00:00,6.6,100,0.0
2025-12-11 11:00:00,7.2,100,0.0
2025-12-11 12:00:00,7.7,98,0.0
2025-12-11 13:00:00,9.8,91,0.0
2025-12-11 14:00:00,10.6,86,0.0
2025-12-11 15:00:00,11.1,83,0.0
2025-12-11 16:00:00,10.6,88,0.0
2025-12-11 17:00:00,10.4,90,0.0
2025-12-11 18:00:00,10.0,91,0.0
2025-12-11 19:00:00,10.0,91,0.0
2025-12-11 20:00:00,10.1,92,0.0
2025-12-11 21:00:00,10.0,92,0.2
2025-12-11 22:00:00,10.0,93,0.2
2025-12-11 23:00:00,10.1,93,0.0
2025-12-12 00:00:00,10.5,92,0.0
2025-12-12 01:00:00,10.8,91,0.0
2025-12-12 02:00:00,10.7,91,0.0
2025-12-12 03:00:00,10.6,91,0.0
2025-12-12 04:00:00,10.5,90,0.0
2025-12-12 05:00:00,10.0,92,0.0
2025-12-12 06:00:00,9.6,93,0.0
2025-12-12 07:00:00,9.2,94,0.0
2025-12-12 08:00:00,9.0,94,0.0
2025-12-12 09:00:00,8.8,94,0.0
2025-12-12 10:00:00,9.0,93,0.0
2025-12-12 11:00:00,9.4,92,0.0
2025-12-12 12:00:00,9.9,90,0.0
2025-12-12 13:00:00,10.5,88,0.0
2025-12-12 14:00:00,11.0,85,0.0
2025-12-12 15:00:00,11.5,83,0.0
2025-12-12 16:00:00,11.7,82,0.0
2025-12-12 17:00:00,11.3,84,0.0
2025-12-12 18:00:00,10.7,87,0.0
2025-12-12 19:00:00,10.1,91,0.0
2025-12-12 20:00:00,9.5,94,0.0
2025-12-12 21:00:00,8.9,97,0.0
2025-12-12 22:00:00,8.6,98,0.0
2025-12-12 23:00:00,8.2,100,0.0
2025-12-13 00:00:00,7.5,100,0.0
2025-12-13 01:00:00,7.3,100,0.0
2025-12-13 02:00:00,7.6,100,0.0
2025-12-13 03:00:00,7.6,100,0.0
2025-12-13 04:00:00,7.3,100,0.0
